date,ticker,price
2024-01-01,AAPL,-0.5540046315570499
2024-01-02,AAPL,-1.9086223477025521
2024-01-03,AAPL,-0.4357836023075809
2024-01-04,AAPL,-0.639556727689963
2024-01-05,AAPL,-1.1104121518429844
2024-01-06,AAPL,-1.7962199380881352
2024-01-07,AAPL,0.13586709190428475
2024-01-08,AAPL,1.365859424556564
2024-01-09,AAPL,1.273786413100551
2024-01-10,AAPL,0.6670104773197517
2024-01-11,AAPL,1.936077872763261
2024-01-12,AAPL,1.0578068578937014
2024-01-13,AAPL,1.1393225692482079
2024-01-14,AAPL,-0.2034342953533471
2024-01-15,AAPL,0.09285415125583715
2024-01-16,AAPL,-0.43565710672972324
2024-01-17,AAPL,0.2823094909316562
2024-01-18,AAPL,-0.19438716218240343
2024-01-19,AAPL,0.04528037046291469
2024-01-20,AAPL,-0.7180967559826521
