date,ticker,price
2024-01-01,AAPL,149.08961000483322
2024-01-02,AAPL,147.61303933279706
2024-01-03,AAPL,149.21847418734546
2024-01-04,AAPL,148.99635586045326
2024-01-05,AAPL,148.48311046155814
2024-01-06,AAPL,147.73556105942492
2024-01-07,AAPL,149.8415892106187
2024-01-08,AAPL,151.18231477737973
2024-01-09,AAPL,151.08195265544555
2024-01-10,AAPL,150.42055015007998
2024-01-11,AAPL,151.80386861300485
2024-01-12,AAPL,150.8465289833816
2024-01-13,AAPL,150.93538335702638
2024-01-14,AAPL,149.47174134030487
2024-01-15,AAPL,149.79470391898067
2024-01-16,AAPL,149.21861207101418
2024-01-17,AAPL,150.00121546455676
2024-01-18,AAPL,149.48160296498835
2024-01-19,AAPL,149.74284718579355
2024-01-20,AAPL,148.91074506341758
